mode,n,p,k,runs,accuracy_mean,accuracy_min
mpi,1797,1,3,3,0.983333333333,0.983333333333
mpi,1797,2,3,3,0.983333333333,0.983333333333
mpi,1797,4,3,3,0.983333333333,0.983333333333
mpi,1797,8,3,3,0.983333333333,0.983333333333
mpi,1797,16,3,3,0.983333333333,0.983333333333
mpi,1797,32,3,3,0.983333333333,0.983333333333
mpi,5000,1,3,3,0.995,0.995
mpi,5000,2,3,3,0.995,0.995
mpi,5000,4,3,3,0.995,0.995
mpi,5000,8,3,3,0.995,0.995
mpi,5000,16,3,3,0.995,0.995
mpi,5000,32,3,3,0.995,0.995
mpi,10000,1,3,3,1,1
mpi,10000,2,3,3,1,1
mpi,10000,4,3,3,1,1
mpi,10000,8,3,3,1,1
mpi,10000,16,3,3,1,1
mpi,10000,32,3,3,1,1
sequential,1797,1,3,3,0.983333333333,0.983333333333
sequential,5000,1,3,3,0.995,0.995
sequential,10000,1,3,3,1,1
