mode,n,p,k,n_train,n_test,n_features,runs,t_total_median,t_total_mean,t_total_std,t_comp_median,t_comm_median,accuracy_mean,accuracy_min,flops,flops_per_sec_median,speedup,efficiency
mpi,1797,1,3,1437,360,64,3,0.00716677,0.006945586,0.000395336378231,0.007080788,8.5474e-05,0.983333333333,0.983333333333,99842760,14100515366.4,368.640284819,368.640284819
mpi,1797,2,3,1437,360,64,3,0.005412683,0.00530193666667,0.000268460174984,0.00514768,0.000252606,0.983333333333,0.983333333333,99842760,19395681161.2,488.105461567,244.052730784
mpi,1797,4,3,1437,360,64,3,0.003611052,0.00363069433333,5.83061152396e-05,0.003176132,0.000421461,0.983333333333,0.983333333333,99842760,31435330773.4,731.631705672,182.907926418
mpi,1797,8,3,1437,360,64,3,0.001930862,0.002014932,0.000188815628249,0.001146327,0.000712549,0.983333333333,0.983333333333,99842760,87097974661.7,1368.28014329,171.035017911
mpi,1797,16,3,1437,360,64,3,0.002555429,0.00272016566667,0.000314043311181,0.001021671,0.001089542,0.983333333333,0.983333333333,99842760,97724962341.1,1033.86168586,64.6163553661
mpi,1797,32,3,1437,360,64,3,0.00501573,0.005031592,0.000159769640317,0.002283928,0.002042846,0.983333333333,0.983333333333,99842760,43715371062.5,526.734918752,16.460466211
mpi,5000,1,3,4000,1000,64,3,0.054154459,0.0532373696667,0.00161715363543,0.05392929,0.000220477,0.995,0.995,772000000,14315041047.3,388.038473526,388.038473526
mpi,5000,2,3,4000,1000,64,3,0.030534137,0.0299459143333,0.0011238547796,0.029640606,0.000981615,0.995,0.995,772000000,26045351434.4,688.213772178,344.106886089
mpi,5000,4,3,4000,1000,64,3,0.02049652,0.0201199676667,0.000774429540572,0.018455763,0.002078355,0.995,0.995,772000000,41829752581.9,1025.24787647,256.311969117
mpi,5000,8,3,4000,1000,64,3,0.015874237,0.0155503636667,0.000568470031648,0.014107273,0.001650523,0.995,0.995,772000000,54723545790.9,1323.78101732,165.472627164
mpi,5000,16,3,4000,1000,64,3,0.014844134,0.0146261223333,0.000445848419762,0.011576824,0.003180737,0.995,0.995,772000000,66684956081.2,1415.64429457,88.4777684107
mpi,5000,32,3,4000,1000,64,3,0.02147707,0.021049017,0.00084523699763,0.013029074,0.006148173,0.995,0.995,772000000,59252100341.1,978.439498729,30.5762343353
mpi,10000,1,3,8000,2000,64,3,0.230520256,0.230473687667,0.000204614314876,0.23017557,0.000337261,1,1,3088000000,13415845999.6,354.142076877,354.142076877
mpi,10000,2,3,8000,2000,64,3,0.124932749,0.124777198667,0.000291974160313,0.122164418,0.002683238,1,1,3088000000,25277409335.3,653.446937456,326.723468728
mpi,10000,4,3,8000,2000,64,3,0.065826228,0.064996617,0.00175561108906,0.062385525,0.003611611,1,1,3088000000,49498661748.9,1240.1883672,310.047091799
mpi,10000,8,3,8000,2000,64,3,0.046287738,0.0457748393333,0.00092007077592,0.043075182,0.003111436,1,1,3088000000,71688611785.8,1763.68355313,220.460444141
mpi,10000,16,3,8000,2000,64,3,0.041610672,0.0416532386667,0.000171509550271,0.037418495,0.00395661,1,1,3088000000,82526034251.2,1961.92270632,122.620169145
mpi,10000,32,3,8000,2000,64,3,0.051063957,0.0515133323333,0.000956542258487,0.041362808,0.007055512,1,1,3088000000,74656440152.7,1598.71907737,49.9599711679
sequential,1797,1,3,1437,360,64,3,2.64196013403,2.63845860073,0.00719062884284,2.641959409,0,0.983333333333,0.983333333333,99842760,37791178.6457,1,1
sequential,5000,1,3,4000,1000,64,3,21.014013605,20.9777790933,0.0782010475247,21.01401291,0,0.995,0.995,772000000,36737390.5835,1,1
sequential,10000,1,3,8000,2000,64,3,81.636922222,81.703772455,0.172978805108,81.6369212719,0,1,1,3088000000,37826022.2445,1,1
